channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_view_count,video_comment_count,video_like_count,video_dislike_count,video_thumbnail,video_tags,collection_date,day,day_published,publish_date
TODAY,UChDKyKQ59fYz3JO2fl0Z6sg,1694548814.0,Eagles' Jason Kelce pulls back curtain on life in the NFL in new doc,"Philadelphia Eagles’ star Jason Kelce and his wife open up about the new Prime Video documentary ""Kelce"" that pulls back the curtain on life in the NFL. NBC’s Kaylee Hartung reports for TODAY.

» Subscribe to TODAY: http://on.today.com/SubscribeToTODAY
» Watch the latest from TODAY: http://bit.ly/LatestTODAY
About: TODAY brings you the latest headlines and expert tips on money, health and parenting. We wake up every morning to give you and your family all you need to start your day. If it matters to you, it matters to us. We are in the people business. Subscribe to our channel for exclusive TODAY archival footage & our original web series.

Connect with TODAY Online!
Visit TODAY's Website: http://on.today.com/ReadTODAY
Find TODAY on Facebook: http://on.today.com/LikeTODAY
Follow TODAY on Twitter: http://on.today.com/FollowTODAY
Follow TODAY on Instagram: http://on.today.com/InstaTODAY

» Stream TODAY All Day: https://www.today.com/allday
About: TODAY All Day is a 24/7 streaming channel bringing you the top stories in news and pop culture, celebrity interviews, cooking, and more. All in one place.

#football #philadelphia #jasonkelce",25,1061008,268,8497,,https://i.ytimg.com/vi/CycfFobNPlI/hqdefault.jpg,Al Roker|Entertainment|Food|Hoda Kotb|International News|Money|Natalie Morales|Savannah Gutherie|Sports|Style|Today|Today Show|breaking news|concerts|domestic news|health|home|interviews|media|parents|pets|politics|shopping|weather,2023-11-28 17:40:35.328871,1,2023-09-12,2023-09-12 20:00:14
ESPN,UCiWLfSweyRNmLpgEHekhoAg,1694565965.0,Weighing in on Travis Kelce-Taylor Swift reportedly 'quietly hanging out' | The Pat McAfee Show,"The Pat McAfee Show speaks on the developing saga between Taylor Swift and Travis Kelce after multiple sources are reporting on the power duo's whereabouts.

✔️Subscribe to ESPN+ http://espnplus.com/youtube
✔️ Get the ESPN App: http://www.espn.com/espn/apps/espn
✔️Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE
✔️ Subscribe to NBA on ESPN on YouTube: http://bit.ly/SUBSCRIBEtoNBAonESPN
✔️ Watch ESPN on YouTube TV: http://es.pn/YouTubeTV",17,83651,221,850,,https://i.ytimg.com/vi/sNCQU6t5UzY/hqdefault.jpg,Weighing in on Travis Kelce-Taylor Swift|'quietly hanging out'|The Pat McAfee Show|Travis Kelce-Taylor Swift|Travis Kelce|Taylor Swift|McAfeeESPN2023,2023-11-28 17:40:35.328871,1,2023-09-12,2023-09-13 00:46:05
Brianna Diogo,UCFlUByMJmqjFzR5S6J2lXEw,1694576549.0,Travis Kelce is dating Taylor Swift and I don’t know how to feel #nflnews,,10,30337,43,928,,https://i.ytimg.com/vi/SpKnXopkWFs/hqdefault.jpg,,2023-11-28 17:40:35.328871,1,2023-09-12,2023-09-13 03:42:29
BritMadrid,UCavBW4z_G38mj_zZH9XI1mg,1694596092.0,Taylor Swift & Travis Kelce Dating?!  *Tarot Tea*,"Taylor Swift and Travis Kelce have been ""hanging out"" according to sources!  Let's pour some tarot tea and see if the queen of pop will be spending more time in my Kansas Ci-tea neighborhood in the future!

XO Brit


#taylorswift #tarot #taylorswiftdating",24,4683,51,114,,https://i.ytimg.com/vi/zijHDBuryv0/hqdefault.jpg,taylor swift|taylor swift album|taylor swift lyrics|official taylor swift video|taylor swift new album|midnights|new taylor swift|taylor swift speak now|taylor’s version|taylor swift boyfriend 2023|taylor swift dating|travis kelce taylor swift|celebrity tarot|zodiac|eras tour|tmz|celebrity tea|gossip|maren altman|sebastian soto|taylor swift playlist|taylor swift top songs|1989|taylor in kansas city|Taylor at Chiefs Game|the eras tour,2023-11-28 17:40:35.328871,1,2023-09-12,2023-09-13 09:08:12
KentSports,UCujqzMePoaIKS38qguhwh5A,1694571276.0,Is Taylor Swift dating NFL star Travis Kelce of the Kansas City Chiefs?!,,17,3617,6,92,,https://i.ytimg.com/vi/wzMl9egMDdI/hqdefault.jpg,,2023-11-28 17:40:35.328871,1,2023-09-12,2023-09-13 02:14:36
Page Six,UCNWsXxEbKkKXOYzw-SwaXoA,1694572130.0,Taylor Swift is reportedly ‘hanging out’ with NFL star Travis Kelce,"Taylor Swift and NFL star Travis Kelce have reportedly been seeing each other for a few weeks.

The “Cruel Summer” songstress and the hunky football player allegedly linked up after Kelce tried — and failed — to give Swift his phone number at one of her recent Eras Tour concerts, according to the Messenger.

“Taylor and Travis have been quietly hanging out,” an insider told the outlet. “She saw him when she was in NYC a few weeks ago.”

Reps for Kelce and Swift, both 33, did not immediately return Page Six’s request for comment.

Read more at https://pagesix.com/2023/09/12/taylor-swift-is-reportedly-hanging-out-with-nfl-star-travis-kelce/

#taylorswift #traviskelce #celebrities

Page Six is your source for celebrity news, gossip, entertainment, pop culture, photos, video and more.

Catch the latest news and gossip here:
https://pagesix.com/
Follow us on:
Facebook - https://www.facebook.com/pagesix/
Twitter - https://twitter.com/PageSix 
Instagram - https://www.instagram.com/pagesix/

Check out We Hear, our Page Six podcast!
https://podcasts.apple.com/us/podcast/we-hear/id1479076951
https://open.spotify.com/show/4A4v65sX7nIHpEtrYnInDm
 
And Page Six Style has the latest news on celebrity style including fashion trends, red carpet photos, and beauty tips.

Catch the latest news here: https://pagesix.com/style/
Follow us on:
Facebook - https://www.facebook.com/pagesix/
Twitter - https://twitter.com/PageSix",24,2404,3,14,,https://i.ytimg.com/vi/nxUd_evP2iU/hqdefault.jpg,page six|page six tv|page six style|news|celebrity news|gossip|celebrity gossip|celebrity|celeb|celebs|celebrities|entertainment|fashion|pop culture|entertainment news|celeb news|taylor swift|travic kelce|taylor swift travis kelce|taylor swift travis kelce dating|taylor swift and travis kelce|taylor swift songs|taylor swift eras tour|taylor swift dating|taylor swift eras tour concert|taylor swift travis|taylor swift new man|travis kelce taylor swift,2023-11-28 17:40:35.328871,1,2023-09-12,2023-09-13 02:28:50
Taylor Swift Updates,UC96qVt1LJG4etpRNs2iFvjQ,1694570609.0,Taylor Swift new boyfriend is Travis Kelce - NFL player *CUTE* ♥️😍 #talyorswift,,10,1647,4,50,,https://i.ytimg.com/vi/dWidTi5XZaA/hqdefault.jpg,taylor swift|travis kelce|taylor’s version,2023-11-28 17:40:35.328871,1,2023-09-12,2023-09-13 02:03:29
Nasrothschild,UCWtLy4outyx_hqNyMy9h1Aw,1694563774.0,Taylor Swift and NFL player Travis Kelce have been “quietly hanging out”,,24,637,4,8,,https://i.ytimg.com/vi/OqNUKoZ0wT8/hqdefault.jpg,,2023-11-28 17:40:35.328871,1,2023-09-12,2023-09-13 00:09:34
*THE ONE BLOG*,UC15iSqI0C22DVQTrySMYb1g,1694575165.0,Taylor Swift 'HANGING OUT' with football player Travis Kelce. after he tried and failed 2 months ago,"#taylorswift #traviskelce #hangout 
#love #swifties #fans #dontmissit #entertainment #foryou #viral #dontmiss #usa #trending #newvideo 
The Eras Tour performer has reportedly been dating football star Travis Kelce, a tight end with the Kansas City Chiefs. They are both 33-years-old.  'Taylor and Travis have been quietly hanging out,' a source told The Messenger on Tuesday.
'She saw him when she was in New York City a few weeks ago.'
Hello guys hope u enjoyed the video..I will love to see u in the next video.thank  u'll😊",24,364,2,2,,https://i.ytimg.com/vi/kDg0U-Ayp6M/hqdefault.jpg,,2023-11-28 17:40:35.328871,1,2023-09-12,2023-09-13 03:19:25
SportsTakes,UChJitnEYsly203hkEnb8PpQ,1694566076.0,Is Taylor Swift dating Travis Kelce? 😳,Big new out of Chiefs camp. #taylorswift #traviskelce #chiefs #erastour,22,66,1,1,,https://i.ytimg.com/vi/tZ6LXtOYF-o/hqdefault.jpg,,2023-11-28 17:40:35.328871,1,2023-09-12,2023-09-13 00:47:56
